Ticker,EA,BIDU,SPOT,URBN,PVH,HD,IRBT,EXPE,YETI,STZ,COST,PXD,EOG,BLK,JPM,SIVB,ALXN,BIIB,ABMD,CI,QDEL,SUPN,BA,XPO,CAT,URI,CRM,ADBE,LITE,MU,AVGO,MPWR,PANW,PKG,JLL
Name,Electronic Arts Inc,Baidu Inc,Spotify Technology SA,Urban Outfitters Inc,PVH Corp,Home Depot Inc,iRobot Corp,Expedia Group Inc,Yeti Holdings Inc,Constellation Brands Inc,Costco Wholesale Corp,Pioneer Natural Resources Co,EOG Resources Inc,BlackRock Inc,JPMorgan Chase & Co,SVB Financial Group,Alexion Pharmaceuticals Inc,Biogen Inc,Abiomed Inc,Cigna Corp,Quidel Corp,Supernus Pharmaceuticals Inc,Boeing Co,XPO Logistics Inc,Caterpillar Inc,United Rentals Inc,Salesforce.com Inc,Adobe Inc,Lumentum Holdings Inc,Micron Technology Inc,Broadcom Inc,Monolithic Power Systems Inc,Palo Alto Networks Inc,Packaging Corp of America,Jones Lang LaSalle Inc
Expected Return,0.013764706,0.023181818,0.021138211,0.032,0.0235,0.012388889,0.022424242,0.008796296,0.033333333,0.013421053,0.010808511,0.017132867,0.013410405,0.008292683,0.009619048,0.01,0.016386555,0.009176471,0.011956522,0.018055556,0.016,0.013333333,0.011230769,0.022857143,0.015130435,0.016521739,0.014714286,0.01627451,0.02625,0.047575758,0.0224,0.013636364,0.023414634,0.01,0.0128
Expected Risk,0.281241477,0.330503076,0.4,0.374005347,0.205606133,0.128616557,0.532826424,0.150394186,0.245472744,0.13172625,0.400096834,0.155752271,0.151656345,0.105193943,0.096152984,0.17385672,0.131906569,0.383408695,0.365578562,0.305682689,0.185806587,0.253852725,0.146309331,0.300575614,0.114636227,0.176278636,0.488918215,0.056948628,0.224041954,0.294315577,0.221774861,0.349945217,0.722368121,0.133572295,0.155620858
Weight,0.013754045,0.017799353,0.019902913,0.004045307,0.01618123,0.029126214,0.013349515,0.017475728,0.003640777,0.030744337,0.03802589,0.023139159,0.013996764,0.066343042,0.016990291,0.033980583,0.019255663,0.034385113,0.037216828,0.023300971,0.008090615,0.004854369,0.052588997,0.008495146,0.018608414,0.018608414,0.022653722,0.041262136,0.006472492,0.005339806,0.040453074,0.017799353,0.033171521,0.013754045,0.020226537
Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2019,-0.046987455,-0.083859365,-0.009340095,-0.001111898,-0.024376792,-0.008464041,0.007490285,0.001892319,-0.01131932,-0.00849646,0.002214568,-0.000388909,0.007095281,-0.007858506,0.005236084,0.013404718,-0.028036602,0.006454972,-0.030328657,-0.007684379,-0.007847316,-0.004511338,-0.00628128,-0.022473854,-0.002688188,-0.018047961,0.009122009,-0.015722687,-0.041019041,-0.039933499,-0.059677871,-0.027666376,-0.008554175,-0.045952057,-0.016193141
5/17/2019,-0.017575737,-0.165191929,-0.019714968,0.007092161,-0.015307998,0.001039593,-0.045459418,-0.016163121,-0.0683636,-0.009719584,0.003677675,-0.005287201,-0.022693875,-0.012700099,-0.004851325,-0.010891085,-0.003805175,-0.006886976,-0.006332509,0.006957592,-0.015797806,-0.01012206,0.003419889,-0.030439089,-0.030408332,-0.016581075,-0.024671814,-0.013048782,-0.077290855,-0.033503081,-0.024891499,-0.031456334,0.003513735,-0.004727718,-0.019479522
5/16/2019,0.023044364,0.007868833,-0.007329767,0.01056209,-0.00477777,0.00323326,0.010895383,-0.008141691,-0.021700497,0.008829689,0.011321388,0.023763885,0.008690112,0.006481243,0.012829809,0.012288683,0.023284712,0.001214272,0.009473283,-0.009531854,-0.011452368,0.0074985,0.02363726,0.030157607,-0.005420283,-0.001632012,0.022055966,0.024311758,-0.115418485,-0.028638349,-0.023261117,-0.003251514,0.023117188,0.002782686,0.002431552
5/15/2019,0.02326316,0.000721839,0.021335462,-0.008230453,-0.012814835,0.000730613,0.009803856,-0.003512872,-0.016789052,-0.001655856,0.007992428,0.007582301,0.000212052,-0.003364285,-0.003807088,-0.02902598,0.003752083,0.006152383,0.011648257,-0.00012872,0.008928607,-0.001198352,0.007579308,0.009688616,-0.001333631,0.012432151,-0.019042253,0.018244767,-0.01046204,-0.002596676,0.007847666,0.006545593,-0.03129824,-0.001543538,0.002134663
5/14/2019,0.045896949,0.00560912,0.008988617,-0.002983924,-0.001155529,0.006724803,0.001090578,0.023893132,-0.001745775,0.021237462,0.003348206,0.021260732,0.008983914,0.006956019,0.007948863,0.018355713,0.015962532,0.015598639,0.017117752,-0.012903724,-0.014322726,0,0.016806515,0.023189891,0.017318419,0.007132055,0.032125453,0.015539682,0.034078598,0.030229988,0.029381672,0.014306078,0.010467733,0.009452613,-0.014007729
